;697;5127;ESTRUCTURA SISMORESISTENTE;7;;
;707;4861;MARCO JURIDICO;;;
;707;4862;GESTION DE LOS PROCESOS PRODUCTIVOS;;;
;707;4863;EDUCACION FISICA;;;
;707;4864;LENGUA EXTRANJERA INGLES TECNICO;;;
;707;4865;MODELIZACION DE SISTEMAS ELECTROMECANICOS;;;
;707;4866;DISEÑO Y MANTENIMIENTO DE INSTALACIONES Y EQUIPOS MECANICOS;;;
;707;4867;DISEÑO Y MANTENIMIENTO DE INSTALACIONES Y EQUIPOS ELECTRICOS-ELECTRONICOS;;;
;707;4868;PROYECTO ELECTROMECANICO;;;
;707;4869;AUTOMATIZACON Y CONTROL;;;
;707;4870;LABORATORIO Y ENSAYOS ELECTROMECANICOS II;;;
;707;4871;PRACTICAS PROFESIONALIZANTES II;;;
;710;5118;MARCO JURIDICO;10;;
;710;5119;EDUCACION FISICA;8;;
;710;5120;LENGUA EXTRANJERA INGLES TECNICO;8;;
;710;5121;PRACTICAS PROFESIONALIZANTES;;;
;710;5122;ADMINISTRACION Y CONDUCCION DE OBRAS;5;;
;710;5123;CONSTRUCCION Y MANTENIMIENTO DE OBRAS VIALES Y TOPOGRAFIA;6;;
;710;5124;IDEA Y DISENO DE EDIFICIOS;7;;
;710;5125;EVALUCACION TECNICA Y COMERCIAL DE EDIFICIOS;7;;
;710;5126;IDEA Y DISENO DE LA ESCTRUCTURA DE EDIFICIOS;7;;
;710;5127;ESTRUCTURA SISMORESISTENTE;10;;
;711;4848;MANTENIMIENTO, CONVERSION Y REPARACION DE SOFTWARE;;;
;711;4849;MANTENIMIENTO Y MANEJOS DE DATOS;;;
;711;4850;GESTION Y COMERCIALIZACION DE SERVICIOS INFORMATICOS;;;
;711;4851;MARCO JURIDICO;;;
;711;4852;GESTION DE LOS PROCESOS PRODUCTIVOS;;;
;711;4853;ESTADISTICA;;;
;711;4854;PROGRAMACION APLICADA;;;
;711;4855;DISEÑO DE APLICACIONES INFORMATICAS II;;;
;711;4856;LABORATORIO DE HARDWARE;;;
;711;4857;LABORATORIO DE SOFTWARE;;;
;711;4858;PRACTICAS PROFESIONALIZANTES;;;
;711;4859;EDUCACION FISICA;;;
;711;4860;LENGUA EXTRANJERA INGLES TECNICO;;;
;712;4717;INGLES TECNICO II;;;
;712;4718;ANALISIS MATEMATICO;6;;
;712;4719;ECONOMIA;;;
;712;4720;EDUCACION FISICA V;;;
;712;4723;DISEÑO Y CONSTRUCCION DE PROTOTIPOS ELECTRONICOS DISCRETOS II;4;;
;712;4724;SISTEMAS DE COMUNICACIONES;;;
;712;4725;DISEÑO Y CONSTRUCCION DE PROTOTIPOS ELECTRONICOS DIGITALES;4;;
;712;4726;MONTAJE OPERACION Y MANTENIMIENTO DE INSTALACIONES ELECTRICAS/ELECTRONICAS;;;
;712;4727;MONTAJES OPERACION Y MANTENIMIENTOS DE MAQUINAS ELECTRICAS;;;
;712;4728;INTRODUCCION A LOS SISTEMAS ELECTRONICOS DE CONTROL;;;
;712;5113;PRACTICAS PROFESIONALIZANTES I;;;
;715;4861;MARCO JURIDICO;;;
;715;4862;GESTION DE LOS PROCESOS PRODUCTIVOS;;;
;715;4863;EDUCACION FISICA;;;
;715;4864;LENGUA EXTRANJERA INGLES TECNICO;;;
;715;4865;MODELIZACION DE SISTEMAS ELECTROMECANICOS;;;
;715;4866;DISEÑO Y MANTENIMIENTO DE INSTALACIONES Y EQUIPOS MECANICOS;;;
;715;4867;DISEÑO Y MANTENIMIENTO DE INSTALACIONES Y EQUIPOS ELECTRICOS-ELECTRONICOS;;;
;715;4868;PROYECTO ELECTROMECANICO;;;
;715;4869;AUTOMATIZACON Y CONTROL;;;
;715;4870;LABORATORIO Y ENSAYOS ELECTROMECANICOS II;;;
;715;4871;PRACTICAS PROFESIONALIZANTES II;;;
;718;5118;MARCO JURIDICO;10;;
;718;5119;EDUCACION FISICA;8;;
;718;5120;LENGUA EXTRANJERA INGLES TECNICO;8;;
;718;5121;PRACTICAS PROFESIONALIZANTES;;;
;718;5122;ADMINISTRACION Y CONDUCCION DE OBRAS;5;;
;718;5123;CONSTRUCCION Y MANTENIMIENTO DE OBRAS VIALES Y TOPOGRAFIA;8;;
;718;5124;IDEA Y DISENO DE EDIFICIOS;6;;
;718;5125;EVALUCACION TECNICA Y COMERCIAL DE EDIFICIOS;7;;
;718;5126;IDEA Y DISENO DE LA ESCTRUCTURA DE EDIFICIOS;7;;
;718;5127;ESTRUCTURA SISMORESISTENTE;10;;
;719;4861;MARCO JURIDICO;;;
;719;4862;GESTION DE LOS PROCESOS PRODUCTIVOS;;;
;719;4863;EDUCACION FISICA;;;
;719;4864;LENGUA EXTRANJERA INGLES TECNICO;;;
;719;4865;MODELIZACION DE SISTEMAS ELECTROMECANICOS;;;
;719;4866;DISEÑO Y MANTENIMIENTO DE INSTALACIONES Y EQUIPOS MECANICOS;;;
;719;4867;DISEÑO Y MANTENIMIENTO DE INSTALACIONES Y EQUIPOS ELECTRICOS-ELECTRONICOS;;;
;719;4868;PROYECTO ELECTROMECANICO;;;
;719;4869;AUTOMATIZACON Y CONTROL;;;
;719;4870;LABORATORIO Y ENSAYOS ELECTROMECANICOS II;;;
;719;4871;PRACTICAS PROFESIONALIZANTES II;;;
;723;4872;MARCO JURIDICO;9;;
;723;4873;GESTION DE LOS PROCESOS PRODUCTIVOS;7;;
;723;4874;EDUCACION FISICA;7;;
;723;4875;LENGUA EXTRANJERA INGLES TECNICO;7;;
;723;4876;MODELIZACION DE SISTEMAS ELECTROMECANICOS;7;;
;723;4877;DISEÑO Y MANTENIMIENTO DE INSTALACIONES Y EQUIPOS MECANICOS;7;;
;723;4878;DISEÑO Y MANTENIMIENTO DE INSTALACIONES Y EQUIPOS ELECTRICOS-ELECTRONICOS;8;;
;723;4879;PROYECTO ELECTROMECANICO;7;;
;723;4880;AUTOMATIZACON Y CONTROL;7;;
;723;4881;LABORATORIO Y ENSAYOS ELECTROMECANICOS II;8;;
;723;4882;PRACTICAS PROFESIONALIZANTES II;;;
;727;4861;MARCO JURIDICO;;;
;727;4862;GESTION DE LOS PROCESOS PRODUCTIVOS;;;
;727;4863;EDUCACION FISICA;;;
;727;4864;LENGUA EXTRANJERA INGLES TECNICO;;;
;727;4865;MODELIZACION DE SISTEMAS ELECTROMECANICOS;;;
;727;4866;DISEÑO Y MANTENIMIENTO DE INSTALACIONES Y EQUIPOS MECANICOS;;;
